nyo,12
Hans,163
Maj,3
påbiudande,2
updragit,2
hvilcket,2
skönjes,2
Svea,8
bebo,2
Stamfäder,2
intagit,8
upodlat,2
tiderna,2
urminnes,8
fria,7
tillhröande,2
ej,1136
ny,12
Inbyggarna,2
skärskådad,2
hvilcken,3
ämbete,2
påbiuda,2
efterlefnad,2
förplichta,2
flygg,2
späkt,2
FRIEDRICH,3
nåde,9
Göthes,2
&,5
c.,6
till,1336
c,3
ehuruväl,2
Högloflige,2
Sveriges,5
GUSTAF,2
härtils,2
Lands,6
utgifvande,2
1618,10
förklaradt,3
behöringen,2
nödtorften,6
hvarom,3
Samtelige,2
esomoftast,2
önskan,2
thervid,6
lagdt,13
Högtärade,2
nöigt,2
förordna,8
förständiga,2
sätta,16
brukelig,2
utesluta,2
bruk,15
sedvana,2
stället,17
laga,129
Riksdags,5
kunnat,24
har,14
arbete,59
hinder,14
förändringar,2
bringas,2
förordnade,22
berömmelig,2
sorgfällighet,2
uppsatta,3
låtit,21
hvilka,8
dels,4
gångne,2
mål,68
ändrade,2
Förthenskul,2
Ständer,9
gilladt,5
således,33
moget,4
bref,38
Decemb,5
gifvit,20
underdåniga,2
tilkänna,41
Kongeliga,3
namn,17
befordra,3
hafve,161
fägnad,2
länge,50
öfverseende,4
fullbordat,2
älskeliga,2
nöjde,2
inrättadt,2
vördnad,4
alsmächtiga,2
skickelse,2
beständig,2
välsignadt,2
ro,2
afhandlas,2
hade,261
ingång,2
doch,113
utgå,4
acht,17
handen,44
ändra,6
utelåta,2
trycket,3
utkomma,4
godtfunnit,3
kungiöra,14
Först,10
Lagbok,4
beskrifven,3
thylikt,8
tillika,24
frihet,10
belefvadt,2
Vahlact,2
Försäkring,2
be,60
såfom,2
angående,3
antagen,5
anses,2
At,15
faststäldt,3
Stads,3
sammandragna,2
tydeliga,7
hvaruti,2
emellan,204
Domsäten,2
Politie,2
angår,4
omständigheter,15
förändring,2
besynerlige,2
nog,4
ändeligen,3
afgiorda,2
åter,183
Imedlertid,2
omsorg,3
arbetadt,2
nödigaste,2
måge,93
enskildta,2
välbeställdt,2
Utsökningsmål,2
tiena,6
rättvisa,2
bibehållas,2
redeliga,9
ställer,7
obrotslig,2
Dom-,3
afseende,2
våld,49
hat,10
oväldugt,2
utländsk,10
fattiga,20
rika,3
öfvermod,2
särdeles,2
faderlösa,2
sanning,8
rättfärdighet,2
landet,120
högsta,6
barmhertighet,2
styrckas,4
emedan,3
flit,8
äfven,3
Balkars,2
upsättande,2
angelägne,2
vida,2
Vår,8
nästkommande,7
Altså,2
härmed,3
stadfästa,4
Stadfästelse,2
biude,5
Våra,4
Vårt,5
erkänna,2
gällande,2
måtto,112
efterlefva,2
Befalningshafvande,78
obrotsligt,2
efterrättelse,2
Til,8
visso,2
hand,54
bekräfta,5
Rådkamaren,2
Januarii,2
L,5
BALK,2
I.,10
Om,250
hwar,45
Wil,7
bygga,43
begiära,4
taga,95
1.2.§,2
sine,135
giftoman,19
Är,172
död,66
skyldasta,2
råd,23
moder,75
skrifteliga,28
fränders,6
Äro,42
thernäst,7
fäderne,18
möderne,9
faderfaders,12
Lefwer,4
faderfader,7
moderfader,8
moderbroder,3
både,89
ware,105
nästa,62
förmyndares,7
skyldemän,8
allena,24
twist,5
rätte,34
fallen,8
Tå,17
therom,71
samwete,2
pröfwar,11
någor,373
mannens,27
ja,13
giftermålet,2
1.6.§,2
ächtenskap,26
fylt,2
åhr,197
gifwa,19
hustru,108
skyldskap,12
dotterdotter,4
ehuru,6
strecker,4
upstigande,5
modermoder,10
rygga,6
2.2.§,2
syster,48
systers,13
affödo,2
moders,13
fadermoders,6
widare,12
hwarannan,10
gifwer,13
2.4.§,2
swågerlag,3
sons,5
dottersons,4
stiufmoder,7
moderfaders,9
stiufdotters,5
hustrus,22
2.5.§,2
gifta,3
enka,28
broders,14
modermoders,7
afkommo,3
modersyster,3
swågerlaget,3
döda,20
mans,75
Hwad,4
ächtenskaps,11
förstås,5
2.8.§,2
räknas,25
slächt,12
mellan,9
inbördes,2
bröder,8
systrar,4
son,23
modren,12
lefwer,11
wördnaden,2
barn,165
thessa,51
giöras,11
halfskylda,2
lika,41
mö,13
fader,71
The,19
2.12.§,2
Prest,14
ogild,14
Prestaembete,2
lägersmål,20
förbudit,8
dagars,22
wid,181
Wiger,5
tillåtit,15
Konungens,199
try,22
thy,81
wigning,2
III,10
fästning,25
3.1.§,2
fyra,43
twänne,17
hennes,185
olagliga,6
daler,846
saklöse,4
Nu,193
samtycke,22
löfte,13
3.3.§,2
femton,15
åt,66
hälften,46
häradet,5
skadan,116
Fäster,9
tretijo,36
Sker,70
Balken,75
hafwen,4
gifwit,14
gild,12
häfdadt,8
senare,17
owetandes,2
qwinna,42
hafwe,37
gåfwor,5
annorlunda,20
fäster,6
lag,126
begge,26
fästninga,2
förwärkadt,21
Wåller,3
mer,46
halft,26
gåfworna,3
3.8.§,2
reda,16
lösören,45
fästeqwinna,2
wigsel,12
fästeman,7
föräldrar,30
Dör,29
tage,89
fästeqwinno,11
trolofningen,4
wilkor,8
framhärdar,2
warde,40
full,41
bo,55
Giör,84
Häfdar,9
påstår,5
samtycka,5
Nekar,8
döme,40
Warder,28
intaga,8
ächtenskapet,18
Rymmer,4
gånge,128
Cap,132
twungen,2
märka,3
utom,31
fästehion,6
Hafwer,23
fästningen,4
siukdom,9
obotelig,3
theri,20
spetelska,2
sot,6
raseri,3
lösachtighet,4
fel,17
enthera,36
goda,35
4.4.§,2
skilias,2
Capitlet,2
Kommer,65
besynnerliga,2
kunnoge,2
skiljas,12
Rätten,157
förlikt,4
allan,26
4.6.§,2
ut,146
theraf,74
åttatijo,16
thertil,100
4.7.§,2
drucken,8
sätt,35
Reser,7
blifwer,12
öfwer,56
tillåta,10
aflas,3
twegifte,5
5.1.§,2
lönskaläge,16
följer,5
qwinnan,13
5.2.§,2
sägs,66
aflar,4
förre,36
ächta,25
wika,4
boet,38
del,75
slögder,6
måste,28
brytes,4
förestå,11
lägge,42
åhrliga,6
makar,4
hwartheras,3
5.4.§,2
gifte,27
Missgiernings,17
giftermål,11
6.1.§,2
mot,51
wåld,23
dotter,23
föracht,4
godt,10
6.3.§,2
faders,19
arflös,3
arfwinge,5
aflinge,9
therå,13
hända,22
sökes,14
skiäl,81
up,237
böter,47
söka,43
Huru,71
ske,73
qwinno,19
giftomannen,2
wekor,26
Wägras,2
lite,8
uppehåll,3
femtijo,30
tre,71
lysas,4
församling,2
tages,9
sker,51
Rikets,18
lysning,4
dock,6
Ordningen,5
miste,82
wägnar,9
närwaro,11
borgen,75
skada,166
giöres,5
domaren,4
tiugu,96
hionalag,4
mös,2
giftorätt,18
krafft,16
egendomen,17
sådane,13
inteknas,6
wigslen,8
utländes,9
wilja,37
förord,11
natt,37
8.3.§,2
sielfwe,4
inom,118
