"('\n', 'b', 'r')",14801
"('u', 'p', 'p')",14749
"('\n', 'r', 'e')",14682
"('r', 'a', 'r')",14678
"('n', 'e', 'n')",14659
"('a', 'n', 't')",14632
"('t', 'e', '\n')",14520
"('s', 't', 'i')",14520
"('s', '\n', 'l')",14505
"('a', 't', 'i')",14456
"('\n', 'm', 'a')",14439
"('ä', 't', 't')",14407
"('o', 'r', '\n')",14315
"('s', '\n', 'g')",14249
"('s', '\n', 'v')",14212
"('\n', 's', 'a')",13929
"('p', 'a', 'r')",13902
"('o', 'r', 'd')",13867
"('k', 'a', 'n')",13809
"('e', 'r', 'e')",13737
"('t', 'r', 'a')",13665
"('l', 'l', 'a')",13647
"('\n', 'u', 't')",13629
"('s', '\n', 'r')",13599
"('\n', 'g', 'r')",13431
"('m', 'm', 'a')",13408
"('n', '\n', 'b')",13408
"('\n', 'v', 'a')",13385
"('o', 'n', 'e')",13303
"('a', 'd', '\n')",13285
"('s', '\n', 'm')",13274
"('m', 'e', 'n')",13155
"('t', 'a', 'n')",13088
"('t', 'i', 'g')",12932
"('d', 'a', 'r')",12814
"('ä', 'l', 'l')",12777
"('c', 'k', 'e')",12753
"('\n', 'p', 'r')",12750
"('l', 'e', 'r')",12730
"('s', '\n', 'u')",12727
"('\n', 'b', 'a')",12720
"('k', 'o', 'r')",12710
"('s', 't', 'o')",12558
"('s', 'k', 'r')",12541
"('o', 'm', 's')",12531
"('n', 't', 'e')",12493
"('a', 'k', 't')",12472
"('\n', 'b', 'l')",12459
"('\n', 'u', 'p')",12446
"('a', 't', '\n')",12439
"('\n', 't', 'i')",12322
"('o', 'r', 't')",12310
"('s', 't', '\n')",12254
"('k', 'a', '\n')",12219
"('n', '\n', 'k')",12215
"('r', 'a', 't')",12207
"('å', 'n', 'g')",12183
"('n', 'a', 'r')",12177
"('e', 's', 't')",12148
"('d', 'e', 'l')",12139
"('e', 'n', 'a')",12102
"('b', 'e', 'r')",12100
"('s', '\n', 'd')",12047
"('n', '\n', 'f')",12046
"('g', 'e', 'r')",12008
"('\n', 'l', 'a')",11993
"('e', 't', 'e')",11967
"('t', 'a', 'd')",11952
"('\n', 's', 'p')",11927
"('t', 'i', 'l')",11909
"('k', 'o', 'n')",11849
"('\n', 'k', 'r')",11805
"('s', 'a', 'm')",11800
"('i', 'g', 'h')",11770
"('e', '\n', 'f')",11730
"('r', 'i', 's')",11679
"('b', 'o', 'r')",11677
"('l', 'a', 'g')",11655
"('o', 'r', 's')",11525
"('t', 'e', 's')",11522
"('i', 'n', 'n')",11416
"('\n', 'v', 'i')",11344
"('d', 'e', 't')",11282
"('a', 't', 's')",11121
"('f', 'v', 'a')",11103
"('a', '\n', 'b')",11099
"('u', 's', '\n')",11080
"('\n', 'a', 'n')",10974
"('a', 'r', 't')",10879
"('v', 'i', 'n')",10872
"('c', 'k', 'a')",10845
"('a', '\n', 'f')",10836
"('s', '\n', 'o')",10836
"('p', 'e', 'r')",10728
"('g', 'a', '\n')",10715
"('d', 's', '\n')",10712
"('n', 'd', 'a')",10591
"('k', 'r', 'i')",10588
"('e', '\n', 'b')",10556
"('u', 'l', 'l')",10514
"('n', 's', 'k')",10506
"('ö', 'r', 's')",10416
"('ä', 'n', 'g')",10341
"('k', 'e', 'r')",10272
"('s', 'a', 'r')",10250
"('n', 'a', 'd')",10240
"('k', 'a', 's')",10119
"('l', 'a', 's')",10090
"('r', 'e', 'r')",10060
"('t', 'r', 'ä')",10029
"('i', 'g', 't')",9973
"('s', 't', 'ä')",9945
"('t', 't', 'a')",9904
"('i', 'g', 'e')",9872
"('t', 'a', '\n')",9820
"('t', 'a', 'l')",9815
"('b', 'e', 't')",9804
"('e', 'r', 'k')",9775
"('s', 'k', 'e')",9708
"('\n', 'm', 'e')",9708
"('s', 'k', 'i')",9695
"('o', 'c', 'k')",9687
"('l', 's', 'e')",9682
"('n', '\n', 'h')",9674
"('a', 'm', 'm')",9648
"('r', '\n', 'b')",9641
"('g', 's', '\n')",9613
"('r', 's', 'k')",9592
"('d', 'i', 'g')",9567
"('e', 'r', 'g')",9563
"('r', 's', 't')",9557
"('f', 'o', 'r')",9551
"('r', 'ä', 'n')",9548
"('r', 'a', '\n')",9534
"('a', '\n', 'k')",9460
"('\n', 'p', 'a')",9455
"('t', 'n', 'i')",9398
"('o', 't', 't')",9387
"('n', 'n', 'e')",9375
"('r', 'e', 't')",9366
"('l', 'a', 'd')",9363
"('s', 'l', 'a')",9342
"('t', '\n', 'f')",9331
"('\n', 'h', 'e')",9318
"('\n', 'v', 'ä')",9314
"('p', 'e', 'n')",9292
"('m', 'e', 'r')",9251
"('i', 'e', 'r')",9231
"('i', 'n', 's')",9221
