UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
  302465   Characters
  421832   Errors
  -39.46%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
  -39.46%  Accuracy After Correction

     Ins    Subst      Del   Errors
     126        0   {w}-{tv}
     126        0   {}-{n fpirituQ som cam phert...}
     126        0   {}-{ng - " - - - - . - - . ....}
     126        0   {}-{teitnjgem och« samlawth...}
     125        0   {i}-{j}
     124        0   {}-{ eii så lätt at nthikr...}
     124        0   {}-{ sjfoins hade » sig så...}
     124        0   {}-{Mos-ko hell - . - . : - ...}
     124        0   {}-{k}
     124        0   {}-{tiken stektes i« Engzel...}
     124        0   {}-{trogctijetstkzxs - - - -...}
     123        0   {}-{sist mina andra fyllde d...}
     123        0   {}-{tglea i . . . - . - - . ...}
     123        0   {}-{�go dertill- lära lika ...}
     123        0   {}-{örbi såsom Nyinphæa,�...}
     122        0   {}-{ . . - . . . - . . . . ....}
     122        0   {}-{Han giorde kring landet ...}
     121        0   {<\n>}-{sorGCkfsspraM - - - » ....}
     121        0   {}-{renrör icke hos dem ons...}
     121        0   {}-{�n gastar uti samma rum ...}
     121        0   {}-{�re sam kelige nödsakad...}
     120        0   {}-{Manufaams a ad ledning a...}
     120        0   {}-{e Schlpssien - mindre Po...}
     119        0   {}-{, rycker öswer ron som ...}
     119        0   {�<85>}-{, - , - , , - - - : , - ...}
     118        0   {}-{ , , - , . , - - - , - ....}
     118        0   {}-{ den tilkoumlmtde satyr-...}
     118        0   {}-{i}
     117        0   {<\n>}-{ -dan gick tlze tiger if...}
     117        0   {h}-{.-z-j««» uj na - . - ...}
     117        0   {}-{s �<80><94> . -.s · ( -...}
     117        0   {}-{x rekrytswztzgtar eller ...}
     116        0   {}-{j - «,, ».s .I«!s·-�...}
     116        0   {}-{ola.8a« -« - Toqu fee ...}
     115        0   {}-{-s « mkr man brukar S�...}
     115        0   {}-{ande qwalmeex zsosm anti...}
     115        0   {}-{m allom rhen Hz. skriff-...}
     115        0   {}-{pso gi O « Sk preces - ...}
     115        0   {}-{ttention på et enda tin...}
     115        0   {ſ}-{=======<\n>14 " - xxxi-J...}
     114        0   {<\n>}-{Christi »fode«csexwar ...}
     114        0   {j}-{ikiorUJ om affsmetormago...}
     114        0   {w}-{iv}
     114        0   {}-{ z « . �<80><94> » mat...}
     114        0   {}-{a}
     114        0   {}-{nd näck · « c - - . ,...}
     114        0   {}-{tnad tckes uthusvaragtan...}
     114        0   {}-{ungcn vags-sa dagar dere...}
     114        0   {ſk}-{si}
     113        0   {l}-{i}
     113        0   {}-{fig Om sommaren sofwa de...}
     113        0   {}-{han kon « ; Z JAS - . -...}
     113        0   {}-{stad om af Ians son stal...}
     113        0   {}-{�ng,.och« sedan Ran dö...}
     112        0   {u}-{n}
     112        0   {}-{=======<\n>t. Cap. F: is...}
     112        0   {}-{d blodets magyle - a - ;...}
     112        0   {}-{lja s ån» ett stortjss...}
     112        0   {}-{lle sattta them otht ett...}
     112        0   {}-{l}
     112        0   {}-{t fatntida Ke angan Ty f...}
     112        0   {}-{tru Utaf henne har altf�...}
     112        0   {ſ}-{lwiegrå talet- nat.-FF ...}
     111        0   {}-{ Maljsnssfebrar 78y 88 M...}
     111        0   {}-{ annan artz mea HB a - -...}
     111        0   {}-{c J äidsta « tiderszba...}
     111        0   {}-{k hed-och tä hon stäld...}
     111        0   {}-{siskt- utifkt önskads I...}
     110        0   {<\n>}-{;,-x föfwexkksszikxiieg...}
     110        0   {}-{ snärpen lik nar men de...}
     110        0   {}-{akar som Spa ris Tiszlag...}
     110        0   {}-{lsignelse och framgansgr...}
     109        0   {}-{m»-.the.dödli«gas ogu...}
